Data element ID,Activity ID,Form ID,Form data element label,Data element label,Description and definition,Data type,Input options,Quantity sub-type,Calculation,Optionality,Reason for requiring data,Explain conditionality,Duplicates,Functional grouping,Linkages to aggregate indicators,Linkages to decision support tables,Annotations,Source (iHRIS 4.3.3)
IHRIS.DE.Accident.occurence_date,,accident,Date of Occurence,Date of Occurence,,Date,,,,O,,,No,Accident,,,,iHRIS_Accident.occurence_date (DATE_YMD)
IHRIS.DE.Accident.accident_type,,accident,Accident Type,Accident Type,,List - select one,https://litlfred.github.io/ihris/dak/ValueSet/accident_type,,,R,,,No,Accident,,,,iHRIS_Accident.accident_type (MAP)
IHRIS.DE.Accident.start_date,,accident,Start of Applicability,Start of Applicability,,Date,,,,R,,,No,Accident,,,,iHRIS_Accident.start_date (DATE_YMD)
IHRIS.DE.Accident.end_date,,accident,End of Applicability,End of Applicability,,Date,,,,O,,,No,Accident,,,,iHRIS_Accident.end_date (DATE_YMD)
IHRIS.DE.Accident.followup,,accident,Follow-up Required,Follow-up Required,,String,,,,O,,,No,Accident,,,multi-line text,iHRIS_Accident.followup (STRING_MLINE)
IHRIS.DE.Accident.persons_involved,,accident,People Involved,People Involved,,String,,,,O,,,No,Accident,,,multi-line text,iHRIS_Accident.persons_involved (STRING_MLINE)
IHRIS.DE.Applicant.position,,application,Position(s),Position(s),,List - select all that apply,https://litlfred.github.io/ihris/dak/ValueSet/position,,,R,,,No,Applicant,,,,iHRIS_Applicant.position (MAP_MULT)
IHRIS.DE.Applicant.felony,,application,Have you ever been convicted of a felony?,Have you ever been convicted of a felony?,,Boolean,,,,O,,,No,Applicant,,,,iHRIS_Applicant.felony (YESNO)
IHRIS.DE.Applicant.felony_circumstance,,application,"If yes, give the circumstances.","If yes, give the circumstances.",,String,,,,O,,,No,Applicant,,,multi-line text,iHRIS_Applicant.felony_circumstance (STRING_MLINE)
IHRIS.DE.Applicant.other_info,,application,"In addition to your work history, are there other skills, qualifications or experience we should consider?","In addition to your work history, are there other skills, qualifications or experience we should consider?",,String,,,,O,,,No,Applicant,,,multi-line text,iHRIS_Applicant.other_info (STRING_MLINE)
IHRIS.DE.Applicant.hear,,application,How did you hear of this opening?,How did you hear of this opening?,,String,,,,O,,,No,Applicant,,,multi-line text,iHRIS_Applicant.hear (STRING_MLINE)
IHRIS.DE.Applicant.start_date,,application,When can you start?,When can you start?,,Date,,,,O,,,No,Applicant,,,,iHRIS_Applicant.start_date (DATE_YMD)
IHRIS.DE.Applicant.desired_wage,,application,Desired Wage,Desired Wage,,Quantity,,Decimal quantity,,O,,,No,Applicant,,,monetary amount; the currency is part of the value in iHRIS,iHRIS_Applicant.desired_wage (CURRENCY)
IHRIS.DE.Applicant.full_time,,application,Are you looking for full-time employment?,Are you looking for full-time employment?,,Boolean,,,,O,,,No,Applicant,,,,iHRIS_Applicant.full_time (YESNO)
IHRIS.DE.Applicant.hours,,application,"If no, what hours are you available?","If no, what hours are you available?",,String,,,,O,,,No,Applicant,,,multi-line text,iHRIS_Applicant.hours (STRING_MLINE)
IHRIS.DE.Benefit.type,,benefit,Benefit Type,Benefit Type,,List - select one,https://litlfred.github.io/ihris/dak/ValueSet/benefit_type,,,R,,,No,Benefit,,,,iHRIS_Benefit.type (MAP)
IHRIS.DE.Benefit.amount,,benefit,Amount,Amount,,Quantity,,Decimal quantity,,R,,,No,Benefit,,,monetary amount; the currency is part of the value in iHRIS,iHRIS_Benefit.amount (CURRENCY)
IHRIS.DE.Benefit.source,,benefit,Source,Source,,List - select one,https://litlfred.github.io/ihris/dak/ValueSet/salary_source,,,R,,,No,Benefit,,,,iHRIS_Benefit.source (MAP)
